frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
116,car,0.79,4,1424,321,1517,382,,,,,,
116,bus,0.43,1,1294,235,1432,376,,,,,,
117,car,0.36,2,1262,312,1293,348,,,,,,
117,person,0.81,3,74,239,171,485,,,,,,
117,car,0.79,4,1421,321,1517,382,,,,,,
117,bus,0.39,1,1294,235,1430,374,,,,,,
118,car,0.35,2,1260,312,1292,346,,,,,,
118,person,0.79,3,87,238,172,482,,,,,,
118,car,0.8,4,1420,320,1517,382,,,,,,
118,bus,0.56,1,1292,236,1429,375,,,,,,
119,car,0.41,2,1259,313,1291,346,,,,,,
119,person,0.75,3,95,237,174,481,,,,,,
119,car,0.8,4,1420,320,1516,382,,,,,,
119,bus,0.6,1,1291,236,1429,374,,,,,,
120,car,0.44,2,1259,313,1291,347,,,,,,
120,person,0.73,3,101,239,179,479,,,,,,
120,car,0.8,4,1419,320,1516,382,,,,,,
120,bus,0.64,1,1291,237,1428,374,,,,,,
121,car,0.38,2,1257,314,1291,348,,,,,,
121,person,0.77,3,107,239,184,478,,,,,,
121,car,0.76,4,1419,321,1516,382,,,,,,
121,bus,0.67,1,1290,237,1427,374,,,,,,
122,car,0.3,2,1257,314,1291,347,,,,,,
122,person,0.77,3,111,241,191,479,,,,,,
122,car,0.74,4,1418,321,1516,382,,,,,,
122,bus,0.68,1,1290,238,1427,373,,,,,,
123,car,0.37,2,1255,313,1290,346,,,,,,
123,person,0.81,3,113,242,199,479,,,,,,
123,car,0.73,4,1419,321,1517,382,,,,,,
123,bus,0.65,1,1289,239,1427,373,,,,,,
124,car,0.18,2,1254,312,1290,348,,,,,,
124,person,0.8,3,115,245,207,477,,,,,,
124,car,0.74,4,1420,321,1517,382,,,,,,
124,bus,0.64,1,1288,239,1425,373,,,,,,
125,car,0.52,2,1246,314,1289,347,,,,,,
125,person,0.79,3,117,248,213,477,,,,,,
125,car,0.74,4,1422,321,1517,381,,,,,,
125,bus,0.64,1,1288,239,1423,373,,,,,,
126,car,0.47,2,1243,315,1289,347,,,,,,
126,person,0.79,3,121,248,217,475,,,,,,
126,car,0.74,4,1423,322,1517,381,,,,,,
126,bus,0.65,1,1289,239,1421,373,,,,,,
127,car,0.43,2,1241,315,1289,347,,,,,,
127,person,0.81,3,125,242,221,475,,,,,,
127,car,0.74,4,1422,322,1516,381,,,,,,
127,bus,0.65,1,1289,239,1420,372,,,,,,
128,car,0.44,2,1241,315,1289,347,,,,,,
128,person,0.81,3,130,239,223,475,,,,,,
128,car,0.74,4,1422,322,1516,381,,,,,,
128,bus,0.71,1,1289,239,1419,371,,,,,,
129,car,0.44,2,1241,315,1288,346,,,,,,
129,person,0.78,3,141,244,226,474,,,,,,
129,car,0.73,4,1428,321,1516,381,,,,,,
129,bus,0.75,1,1288,241,1417,371,,,,,,
130,car,0.38,2,1242,315,1287,346,,,,,,
130,person,0.75,3,148,244,229,472,,,,,,
130,car,0.71,4,1432,321,1516,381,,,,,,
130,bus,0.7,1,1288,241,1416,370,,,,,,
131,car,0.39,2,1243,315,1286,345,,,,,,
131,person,0.79,3,156,244,233,471,,,,,,
131,car,0.72,4,1433,321,1515,381,,,,,,
131,bus,0.69,1,1287,242,1415,370,,,,,,
132,car,0.41,2,1243,314,1286,345,,,,,,
132,person,0.83,3,161,247,239,470,,,,,,
132,car,0.72,4,1432,321,1515,381,,,,,,
132,bus,0.71,1,1287,241,1413,369,,,,,,
133,car,0.43,2,1243,315,1285,345,,,,,,
133,person,0.83,3,167,245,245,470,,,,,,
133,car,0.72,4,1426,321,1515,381,,,,,,
133,bus,0.7,1,1287,242,1411,368,,,,,,
134,car,0.41,2,1242,315,1285,345,,,,,,
134,person,0.85,3,171,241,251,469,,,,,,
134,car,0.71,4,1426,321,1515,381,,,,,,
134,bus,0.57,1,1287,244,1410,367,,,,,,
135,car,0.43,2,1241,315,1285,345,,,,,,
135,person,0.85,3,178,240,259,467,,,,,,
135,car,0.72,4,1425,321,1514,382,,,,,,
135,bus,0.51,1,1287,245,1409,367,,,,,,
136,car,0.39,2,1240,315,1285,345,,,,,,
136,person,0.82,3,182,241,273,467,,,,,,
136,car,0.71,4,1424,320,1513,382,,,,,,
136,bus,0.67,1,1285,245,1408,368,,,,,,
137,car,0.43,2,1240,315,1284,345,,,,,,
137,person,0.82,3,185,246,279,468,,,,,,
137,car,0.72,4,1420,320,1513,382,,,,,,
137,bus,0.71,1,1286,246,1408,367,,,,,,
138,car,0.44,2,1240,315,1284,345,,,,,,
138,person,0.83,3,188,249,282,468,,,,,,
138,car,0.71,4,1420,320,1514,382,,,,,,
138,bus,0.63,1,1286,247,1407,367,,,,,,
139,car,0.43,2,1240,316,1283,344,,,,,,
139,person,0.85,3,191,255,284,469,,,,,,
139,car,0.71,4,1418,320,1514,381,,,,,,
139,bus,0.66,1,1285,248,1405,367,,,,,,
140,car,0.41,2,1239,316,1281,344,,,,,,
140,person,0.86,3,194,256,287,469,,,,,,
140,car,0.7,4,1418,321,1514,382,,,,,,
140,bus,0.7,1,1284,249,1404,368,,,,,,
141,car,0.4,2,1238,316,1281,344,,,,,,
141,person,0.86,3,196,261,288,468,,,,,,
141,car,0.7,4,1419,320,1515,382,,,,,,
141,bus,0.7,1,1283,249,1403,367,,,,,,
142,car,0.42,2,1237,316,1280,344,,,,,,
142,person,0.86,3,200,257,289,468,,,,,,
142,car,0.69,4,1420,320,1515,381,,,,,,
142,bus,0.52,1,1283,250,1400,367,,,,,,
143,car,0.41,2,1236,316,1279,344,,,,,,
143,person,0.84,3,205,254,290,466,,,,,,
143,car,0.69,4,1422,320,1514,381,,,,,,
143,bus,0.49,1,1281,250,1397,367,,,,,,
144,car,0.39,2,1237,316,1278,344,,,,,,
144,person,0.82,3,212,254,290,465,,,,,,
144,car,0.69,4,1422,321,1516,382,,,,,,
144,bus,0.53,1,1279,250,1395,366,,,,,,
145,car,0.26,2,1235,315,1277,344,,,,,,
145,person,0.82,3,221,248,292,464,,,,,,
145,car,0.67,4,1423,322,1516,382,,,,,,
145,bus,0.57,1,1278,249,1393,366,,,,,,
146,car,0.24,2,1235,315,1277,344,,,,,,
146,person,0.8,3,229,245,294,462,,,,,,
146,car,0.66,4,1424,322,1516,382,,,,,,
146,bus,0.63,1,1277,249,1394,365,,,,,,
147,car,0.22,2,1235,314,1277,344,,,,,,
147,person,0.81,3,233,243,296,461,,,,,,
147,car,0.62,4,1424,322,1515,381,,,,,,
147,bus,0.6,1,1276,249,1392,365,,,,,,
148,car,0.2,2,1236,313,1275,343,,,,,,
148,person,0.46,3,238,242,302,461,,,,,,
148,car,0.56,4,1425,322,1512,380,,,,,,
148,bus,0.61,1,1276,249,1393,365,,,,,,
